Date,Tree Name,QAQC,Street Segment,Tree Number,Genus,Species,Species ID Code,DBH (in),Discoloration,Defoliation,Dieback,CrownStress,CrownLight
8/21/2023,128-ULUN-032,TRUE,128,032,Ulmus,unknown,ULUN,,2,2,4,3,5
8/16/2023,153-ULSP-001,FALSE,153,001,Ulmus,spp.,ULSP,16.6,1,2,2,2,4
8/21/2023,153-ULSP-001,TRUE,153,001,Ulmus,spp.,ULSP,,1,2,2,1,3
8/16/2023,153-ACPL-007,FALSE,153,007,Acer,platanoides,ACPL,9.5,2,1,1,2,4
8/21/2023,153-ACPL-007,TRUE,153,007,Acer,platanoides,ACPL,,2,1,1,2,4
8/16/2023,153-ULSP-011,FALSE,153,011,Ulmus,spp.,ULSP,10.1,2,2,4,2,3
8/21/2023,153-ULSP-011,TRUE,153,011,Ulmus,spp.,ULSP,,2,2,3,2,3
8/16/2023,153-ULSP-019,FALSE,153,019,Ulmus,spp.,ULSP,10.8,1,2,1,1,3
8/21/2023,153-ULSP-019,TRUE,153,019,Ulmus,spp.,ULSP,,1,2,1,1,3
8/16/2023,153-QUBI-020,FALSE,153,020,Quercus,bicolor,QUBI,3.6,5,1,1,4,3
8/21/2023,153-QUBI-020,TRUE,153,020,Quercus,bicolor,QUBI,,5,2,1,4,3
8/16/2023,153-FRPE-027,FALSE,153,027,Fraxinus,pennsylvanica,FRPE,11.2,1,1,3,1,2
8/21/2023,153-FRPE-027,TRUE,153,027,Fraxinus,pennsylvanica,FRPE,,2,1,3,2,2
8/16/2023,153-FRPE-039,FALSE,153,039,Fraxinus,pennsylvanica,FRPE,11.3,2,1,2,1,3
8/21/2023,153-FRPE-039,TRUE,153,039,Fraxinus,pennsylvanica,FRPE,,1,1,2,1,3
8/17/2023,153-ACRU-042,FALSE,153,042,Acer,rubrum,ACRU,6.1,5,1,11,4,2
8/21/2023,153-ACRU-042,TRUE,153,042,Acer,rubrum,ACRU,,5,2,11,4,2
8/17/2023,153-ACXF-045,FALSE,153,045,Acer,x freemanii,ACXF,9.5,5,1,1,4,3
8/21/2023,153-ACXF-045,TRUE,153,045,Acer,x freemanii,ACXF,,5,1,1,4,3
8/17/2023,153-FRPE-062,FALSE,153,062,Fraxinus,pennsylvanica,FRPE,8.5,2,1,3,2,2
8/21/2023,153-FRPE-062,TRUE,153,062,Fraxinus,pennsylvanica,FRPE,,1,1,4,2,2
8/17/2023,153-PLHY-084,FALSE,153,084,Platanus,hybrida,PLHY,3.5,4,2,4,4,5
8/21/2023,153-PLHY-084,TRUE,153,084,Platanus,hybrida,PLHY,,3,2,4,4,4
8/14/2023,150-01-GLTR-013,FALSE,157,013,Gleditsia,triacanthos,GLTR,32.9,1,2,4,2,5
8/22/2023,150-01-GLTR-013,TRUE,157,013,Gleditsia,triacanthos,GLTR,,1,2,4,2,5
8/14/2023,150-01-TICO-016,FALSE,157,016,Tilia,cordata,TICO,15.1,2,1,2,2,3
8/22/2023,150-01-TICO-016,TRUE,157,016,Tilia,cordata,TICO,,2,2,2,2,4
8/14/2023,150-01-ULUNK-033,FALSE,157,033,Ulmus,unknown,ULUN,5.8,1,2,3,2,4
8/22/2023,150-01-ULUNK-033,TRUE,157,033,Ulmus,unknown,ULUN,,1,2,3,2,4
7/20/2023,244-01-ACXFR-003,FALSE,244,003,Acer,x freemanii,ACXFR,15.4,3,2,2,3,5
8/22/2023,244-01-ACXFR-003,TRUE,244,003,Acer,x freemanii,ACXF,,4,2,2,4,5
7/20/2023,244-01-GYDI-016,FALSE,244,016,Gymnocladus,dioicus,GYDI,10.9,3,1,3,3,3
8/22/2023,244-01-GYDI-016,TRUE,244,016,Gymnocladus,dioicus,GYDI,,3,1,2,3,3
7/20/23,244-01-ULUNK-040,FALSE,244,040,Ulmus,unknown,ULUN,13.3,2,3,4,3,4
8/22/2023,244-01-ULUNK-040,TRUE,244,040,Ulmus,unknown,ULUN,,2,3,3,4,4
7/20/2023,244-01-TICO-063,FALSE,244,063,Tilia,cordata,TICO,12.5,2,1,1,2,4
8/22/2023,244-01-TICO-063,TRUE,244,063,Tilia,cordata,TICO,,2,2,1,2,4
7/20/2023,244-GYDI-078,FALSE,244,078,Gymnocladus,dioicus,GYDI,15.3,3,2,3,4,3
8/22/2023,244-01-GYDI-078,TRUE,244,078,Gymnocladus,dioicus,GYDI,,3,2,3,4,2
7/15/2023,260-01-CEOC-007,FALSE,275,007,Celtis,occidentalis,CEOC,18.4,3,1,3,3,3
8/21/2023,260-01-CEOC-007,TRUE,275,007,Celtis,occidentalis,CEOC,,3,1,4,3,3
7/15/2023,260-01-CEOC-011,FALSE,275,011,Celtis,occidentalis,CEOC,14.7,2,1,2,2,3
8/21/2023,260-01-CEOC-011,TRUE,275,011,Celtis,occidentalis,CEOC,,3,2,2,3,3
7/15/2023,260-01-GLTR-017,FALSE,275,017,Gleditsia,triacanthos,GLTR,18.6,1,1,4,2,3
8/21/2023,260-01-GLTR-017,TRUE,275,017,Gleditsia,triacanthos,GLTR,,2,1,4,2,3
7/17/2023,260-01-GYDI-027,FALSE,275,027,Gymnocladus,dioicus,GYDI,8.2,3,1,1,2,1
8/21/2023,260-01-GYDI-027,TRUE,275,027,Gymnocladus,dioicus,GYDI,,3,1,1,3,1
7/17/2023,260-01-ACXFR-074,FALSE,275,074,Acer,x freemanii,ACXFR,4.2,1,1,1,1,2
8/21/2023,260-01-ACXFR-074,TRUE,275,074,Acer,x freemanii,ACXF,,1,1,1,1,2
7/17/2023,260-01-ACPL-080,FALSE,275,080,Acer,platanoides,ACPL,8.7,2,1,1,1,3
8/21/2023,260-01-ACPL-080,TRUE,275,080,Acer,platanoides,ACPL,,2,1,1,1,3
7/19/2023,281-GLTR-003,FALSE,281,003,Gleditsia,triacanthos,GLTR,2.7,1,2,8,3,5
8/22/2023,281-GLTR-003,TRUE,281,003,Gleditsia,triacanthos,GLTR,,2,2,6,3,5
7/19/2023,281-ACXFR-023,FALSE,281,023,Acer,x freemanii,ACXFR,15.6,3,1,1,3,4
8/22/2023,281-ACXF-023,TRUE,281,023,Acer,x freemanii,ACXF,,2,1,1,2,4
7/19/2023,281-ACPL-030,FALSE,281,030,Acer,platanoides,ACPL,12.7,1,1,3,1,4
8/22/2023,281-ACPL-030,TRUE,281,030,Acer,platanoides,ACPL,,2,1,2,1,3
7/29/2023,292-GYDI-003,FALSE,292,003,Gymnocladus,dioicus,GYDI,11.8,1,1,1,1,4
8/21/2023,292-GYDI-003,TRUE,292,003,Gymnocladus,dioicus,GYDI,,1,1,2,1,4
7/29/2023,292-GLTR-011,FALSE,292,011,Gleditsia,triacanthos,GLTR,3.5,2,2,1,2,3
8/21/2023,292-GLTR-011,TRUE,292,011,Gleditsia,triacanthos,GLTR,,1,2,1,1,4
7/29/2023,292-GLTR-012,FALSE,292,012,Gleditsia,triacanthos,GLTR,3.7,1,2,1,1,4
8/21/2023,292-GLTR-012,TRUE,292,012,Gleditsia,triacanthos,GLTR,,1,2,1,1,4
7/29/2023,292-GLTR-013,FALSE,292,013,Gleditsia,triacanthos,GLTR,3,1,2,1,1,4
8/21/2023,292-GLTR-013,TRUE,292,013,Gleditsia,triacanthos,GLTR,,1,1,1,1,4
7/29/2023,292-ULAM-035,FALSE,292,035,Ulmus,americana,ULAM,22.6,2,2,4,3,2
8/21/2023,292-ULAM-035,TRUE,292,035,Ulmus,americana,ULAM,,3,2,3,3,2
7/29/2023,292-ULUN-042,FALSE,292,042,Ulmus,unknown,ULUN,10.2,1,2,5,3,1
8/21/2023,292-ULUN-042,TRUE,292,042,Ulmus,unknown,ULUN,,1,2,4,2,2
7/29/2023,292-ACSA-057,FALSE,292,057,Acer,saccharinum,ACSA,28.1,2,1,5,2,5
8/21/2023,292-ACSA-057,TRUE,292,057,Acer,saccharinum,ACSA,,2,1,5,3,5
7/31/2023,306-ULUN-011,FALSE,306,011,Ulmus,unknown,ULUN,5.8,1,2,2,1,4
8/22/2023,306-ULUN-011,TRUE,306,011,Ulmus,unknown,ULUN,,1,2,1,1,4
7/31/2023,306-QUMU-021,FALSE,306,021,Quercus,muhlenbergii,QUMU,4.2,2,1,2,1,2
8/22/2023,306-QUMU-021,TRUE,306,021,Quercus,muhlenbergii,QUMU,,1,1,1,1,2
7/31/2023,306-ULUN-031,FALSE,306,031,Ulmus,unknown,ULUN,14.4,2,3,4,3,3
8/22/2023,306-ULUN-031,TRUE,306,031,Ulmus,unknown,ULUN,,1,2,3,2,3
7/31/2023,306-TIAM-041,FALSE,306,041,Tilia,americana,TIAM,17.2,3,1,2,3,3
8/22/2023,306-TIAM-041,TRUE,306,041,Tilia,americana,TIAM,,2,1,1,2,3
7/31/2023,306-CEOC-044,FALSE,306,044,Celtis,occidentalis,CEOC,12.3,2,2,2,2,4
8/22/2023,306-CEOC-044,TRUE,306,044,Celtis,occidentalis,CEOC,,2,2,2,2,4
7/31/2023,306-PLOC-048,FALSE,306,048,Platanus,occidentalis,PLOC,25.2,2,2,4,2,3
8/22/2023,306-PLOC-048,TRUE,306,048,Platanus,occidentalis,PLOC,,2,2,2,2,3
8/1/2023,306-ACPL-069,FALSE,306,069,Acer,platanoides,ACPL,10,2,1,2,1,4
8/22/2023,306-ACPL-069,TRUE,306,069,Acer,platanoides,ACPL,,1,1,2,1,4
8/1/2023,306-ACPL-072,FALSE,306,072,Acer,platanoides,ACPL,3.8,4,1,4,4,4
8/22/2023,306-ACPL-072,TRUE,306,072,Acer,platanoides,ACPL,,4,1,3,4,4
8/1/2023,306-ULUN-101,FALSE,306,101,Ulmus,unknown,ULUN,17.4,2,2,5,3,3
8/22/2023,306-ULUN-101,TRUE,306,101,Ulmus,unknown,ULUN,,1,2,3,2,4
8/1/2023,306-TIAM-103,FALSE,306,103,Tilia,americana,TIAM,28.4,2,2,4,3,4
8/22/2023,306-TIAM-103,TRUE,306,103,Tilia,americana,TIAM,,3,2,5,4,5
7/24/2023,324-ULSP-005,FALSE,324,005,Ulmus,unknown,ULUN,11.8,1,2,2,1,5
8/21/2023,324-ULSP-005,TRUE,324,005,Ulmus,spp.,ULSP,,1,1,2,1,4
7/24/2023,324-ULSP-034,FALSE,324,034,Ulmus,americana,ULAM,2.5,1,2,1,1,1
8/21/2023,324-ULSP-034,TRUE,324,034,Ulmus,spp.,ULSP,,1,2,1,1,1
7/24/2023,324-ULAM-035,FALSE,324,035,Ulmus,americana,ULAM,3.1,1,2,1,1,2
8/21/2023,324-ULAM-035,TRUE,324,035,Ulmus,americana,ULAM,,1,2,1,1,2
7/24/2023,324-ACXFR-080,FALSE,324,080,Acer,x freemanii,ACXFR,6.5,2,1,1,2,4
8/21/2023,324-ACXF-080,TRUE,324,080,Acer,x freemanii,ACXF,,2,1,1,1,4
7/24/2023,324-TICO-091,FALSE,324,091,Tilia,cordata,TICO,19.8,1,1,1,1,4
8/21/2023,324-TICO-091,TRUE,324,091,Tilia,cordata,TICO,,1,1,2,1,4
