Tree ID#,DBH,Leaf Defoliation,Leaf Discoloration,Fine Twig Dieback,Crown Density Trans,Crown Vigor,Crown Light Exposure,QA/QC
46-01-CASP-046,25.9,2,1,1,4,1,4,TRUE
46-01-CASP-046,25.9,1,2,2,3,2,5,FALSE
46-01-ACPL-006,3.3,1,1,2,3,1,4,TRUE
46-01-ACPL-006,3.9,1,1,2,2,1,4,FALSE
46-01-ACXFR-013,9.9,1,2,1,4,2,3,TRUE
46-01-ACXFR-013,10.2,1,2,1,2,1,4,FALSE
46-01-ULUNK-075,35.4,2,1,3,5,2,3,FALSE
46-01-ULUNK-075,35.16,2,2,2,6,2,4,TRUE
46-01-CASP-043,20.9,2,1,2,4,2,5,TRUE
46-01-CASP-043,21,1,2,2,3,2,5,FALSE
46-01-ULUNK-061,13.35,3,1,4,5,3,4,TRUE
46-01-ULUNK-061,14.2,3,2,7,6,4,3,FALSE
46-01-ACPL-056,1.69,1,1,1,6,1,5,TRUE
46-01-ACPL-056,1.7,1,1,1,4,1,5,FALSE
46-01-GLTR-078,9,2,2,1,4,2,2,FALSE
46-01-GLTR-078,9,2,2,1,5,2,2,TRUE
46-01-ACPL-031,14.8,2,4,2,5,4,3,FALSE
46-01-ACPL-031,15,1,2,3,3,2,4,TRUE
46-01-TICO-042,20.6,2,1,3,4,2,5,TRUE
46-01-TICO-042,21,2,1,3,3,2,5,FALSE
46-01-ULUNK-071,29,2,1,5,5,3,4,FALSE
46-01-ULUNK-071,29.17,2,2,6,6,4,4,TRUE
46-01-ULUNK-070,21.5,2,1,4,4,2,2,TRUE
46-01-ULUNK-070,21.2,3,1,3,5,3,2,FALSE
46-01-PRCE-010,7.4,1,1,1,3,1,3,TRUE
46-01-PRCE-010,8,2,1,1,3,2,3,FALSE
46-01-ALGL-018,17.01,1,1,1,3,1,5,TRUE
46-01-ALGL-018,14.9,1,1,2,3,1,5,FALSE
