OBJECTID,TREE_ID,SUB_NAME,SUB_GENUS,SUB_SPECIES,SUB_VARIETY,PLANTS,USER_ID,DATE_ADDED,DATE_UPDATED,NAME,SUB_ID,LATITUDE,LONGITUDE,ADDRESS,NOTES,DBH,REVISIT_ID,REVISIT_DATE_ADDED,REVISIT_DATE_UPDATED,REVISIT_NOTES,REVISIT_TYPE,CROWN_VIGOR,LEAF_DEFOLIATIONF,LEAF_DISCOLORATIONF,FINE_TWIG_DIEBACKF,CROWN_LIGHT_EXPOSURE,CROWN_DENSITY_TRANS,INV_CROWN_VIGOR,PercImpervious,PercentRenters,MedianHomeValue,Vpdmax_july,Vpdmax_aug,UDO,ZONE_GEN,ZoneShort,pm_t_f,am_t_f,af_t_f
42,B97F3611-AE96-4AE8-BE9F-11E5FD152470,willow oak,Quercus,phellos,NA,QUPH                ,189796,48:19.0,28:11.6,S-O18-QUPH-033,3343,36.008012,-78.93421,"John Hope Franklin Center for International & Interdisciplinary Studies, 2204 Erwin Rd, Durham, NC 27705, USA",,22.4,9,49:58.0,,,2,3,NA,3,1,4,25,3,69,100,,24.16559982,21.82219887,UC, , ,83.16532135,69.28453064,84.5573349
43,8954F409-D7C0-4B25-A401-11FF3A113BA5,willow oak,Quercus,phellos,NA,QUPH                ,189796,18:08.0,28:27.8,S-O18-QUPH-036,3343,36.007663,-78.933104,"2351 Erwin Rd, Durham, NC 27705, USA",,43.7,37,19:31.0,,"Fungal conch, hole in trunk, broken Branch",2,2,1,1,5,4,45,4,49,100,,24.16559982,21.82219887,UC, , ,83.11312866,68.9292984,84.2123642
45,C15D0885-E38F-42BB-AF99-12DB2472FEC3,red maple,Acer,rubrum,NA,ACRU                ,189796,52:05.0,16:35.7,S-Q21-ACRU-025,3247,35.99435,-78.902234,"205 Blackwell St, Durham, NC 27701, USA",,4.7,239,53:23.0,,,2,3,1,2,15,5,55,3,83,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,82.96459961,69.16849518,84.20681
47,ABD347F0-4830-4F93-A27D-13614183FEC9,live oak,Quercus,virginiana,NA,QUVI                ,189796,45:51.0,,S-S22-QUVI-013,3349,35.974494,-78.892412,"1304 Rosewood St, Durham, NC 27701, USA","Dbh measured at 2'2""",36.6,437,47:09.0,49:07.0,,2,2,1,1,10,5,45,4,41,66.4,140400,24.61669922,21.95779991,RU-5,RES_MEDIUM_DENSITY,RES,81.43106842,67.33184052,84.19361115
50,11F98461-7203-4319-B9E0-14CE9D533DD0,sweetgum,Liquidambar,styraciflua,NA,LIST2               ,189796,31:52.0,,S-T18-LIST-015,3296,35.966107,-78.935455,"3106 Stanford Dr, Durham, NC 27707, USA",,11.9,467,33:05.0,,Light stake extremely close to base.,2,2,1,1,5,2,45,4,8,78,227200,24.47809982,21.98729897,RS-10,RES_LOW_DENSITY,RES,81.43018341,67.53349304,82.9133606
51,6A1981E0-A70C-4694-A9C4-15224DF19D78,river birch,Betula,nigra,NA,BENI                ,189796,34:15.0,52:10.0,S-R21-BENI-023,3256,35.978808,-78.904339,"302 Moline St, Durham, NC 27707, USA",Protection at base; root diaper.,1.21,342,35:43.0,,Protection at base; root diaper.,2,3,1,1,30,4,65,3,54,55.4,150600,24.58499908,21.95839882,RU-5,RES_MEDIUM_DENSITY,RES,81.3086319,67.32998657,83.7057724
54,A60B4700-5C0E-45BC-BECE-169537C05271,American elm,Ulmus,americana,NA,ULAM                ,189796,03:58.0,,S-R21-ULAM-017,3358,35.979348,-78.904078,"200 Bern St, Durham, NC 27707, USA",Protection at base; pole.,1.25,338,05:13.0,,Protection at base; pole.,2,2,2,2,1,5,45,4,11,81.8,,24.43400002,21.96369934,RU-5(2),RES_HIGH_DENSITY,RES,81.6332016,67.36975861,84.3267746
55,AED1C6A7-4B26-4A78-B2AA-16CB48B2591E,plum/cherry,Prunus,spp.,NA,PRUNU               ,203642,41:04.0,,S-O21-PRYE-042,6898,36.005524,-78.895703,"120 W Trinity Ave, Durham, NC 27701, USA",Prunes yeodoensis,1.1,74,42:34.0,,,2,5,NA,NA,100,NA,95,1,11,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.49751282,67.53153229,84.36988068
59,F8B6E399-02E0-434B-831C-1A98AF2B5699,eastern redbud,Cercis,canadensis,NA,CECA4               ,189796,49:34.0,,S-P21-CECA-048,3273,36.000186,-78.895939,"612 N Mangum St, Durham, NC 27701, USA",,1,407,50:34.0,,Strange mulch.,2,4,2,5,15,4,55,2,64,74.9,363600,24.47979927,21.92829895,DD-S2,DOWNTOWN DESIGN-SUPPORT 2,DOW,82.76677704,68.70858765,84.26319885
61,A112A5B9-DFC9-4826-BF86-1AE24343CB6D,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,15:31.0,,S-P21-LAUN-003,6931,36.000977,-78.898595,"214 Broadway St, Durham, NC 27701, USA","DBH measured at 3'10""",1.6,365,17:09.0,,,2,1,2,1,1,5,45,5,86,74.9,363600,24.47979927,21.92829895,DD-S1,DOWNTOWN DESIGN-SUPPORT 1,DOW,82.88047791,68.77842712,84.79527283
64,BE82918F-6751-4165-B43F-1BDF4A84826E,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,33:56.0,,S-O21-LAUN-063,6931,36.005302,-78.893475,"108 E Trinity Ave, Durham, NC 27701, USA",,7,315,35:14.0,,,2,1,1,1,1,4,35,5,37,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.74024963,67.41532898,83.8168335
67,02C846A5-84FF-458B-8FE9-1C90C8ABC2F5,live oak,Quercus,virginiana,NA,QUVI                ,189796,01:24.0,,S-S22-QUVI-007,3349,35.973782,-78.892449,"1313 Rosewood St, Durham, NC 27701, USA","Dbh measured at 3'5""",37.1,431,03:52.0,15:46.0,,2,1,1,1,5,4,35,5,23,66.4,140400,24.61669922,21.95779991,RU-5,RES_MEDIUM_DENSITY,RES,81.47874451,67.28282928,83.89351654
68,4AAD91FA-A76E-4313-8BDB-1CB893AEB6A3,unlisted plant,,,NA,,189796,12:55.0,,S-M19-NYSY-017,59420,36.024787,-78.914579,"1408 Hudson Ave, Durham, NC 27705, USA",,16.1,459,14:13.0,,Large branch dieback,2,2,1,2,5,2,35,4,10,65.4,188900,24.3572998,21.82219887,RU-5,RES_MEDIUM_DENSITY,RES,81.42420959,67.62095642,84.28325653
69,8D1E4213-B095-434C-9425-1CFFE534BADC,red maple,Acer,rubrum,NA,ACRU                ,189796,51:53.0,17:01.5,S-Q21-ACRU-068,3247,35.996717,-78.903676,"331 W Main St #411, Durham, NC 27701, USA",,7.61,476,19:59.0,,,2,3,1,2,35,4,45,3,79,74.9,363600,24.47979927,21.92829895,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.6484375,68.45111847,85.71867371
71,201F0F82-6574-47DE-A716-1DB0B0717A93,eastern redbud,Cercis,canadensis,NA,CECA4               ,189796,35:32.0,36:56.4,S-O18-CECA-002,3273,36.008524,-78.939506,"508 Fulton St, Durham, NC 27705, USA",Dbh measured at 2',1.36,1,37:42.0,39:17.0,Protection at t,2,3,3,4,30,5,45,3,71,99.5,,24.25160027,21.83729935,RU-M,RES_HIGH_DENSITY,RES,83.22530365,70.21669769,85.07392883
72,D70666C9-7F6E-4AFC-831B-1DD748B67A69,American hornbeam,Carpinus,caroliniana,NA,CACA18              ,189796,03:52.0,55:40.8,S-Q21-CACA-015,3258,35.99381,-78.90122,"147 S Mangum St, Durham, NC 27701, USA",,0.7,229,05:07.0,,Dead,2,5,NA,NA,100,NA,0,1,77,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.18141937,69.0914917,84.24203491
73,170A5C13-A3C5-4867-AF79-1E6249833ECD,unlisted plant,,,NA,,189796,22:14.0,,S-M19-NYSY-008,59420,36.024961,-78.915184,"1417 Hudson Ave, Durham, NC 27705, USA","DBH measured at 2'7""",16.4,452,24:03.0,,Large branch dieback,2,2,2,2,1,3,25,4,27,65.4,188900,24.3572998,21.82219887,RU-5,RES_MEDIUM_DENSITY,RES,81.5396347,67.56004333,84.46630096
74,E46F7ACE-BB04-451F-B50F-1E887F4CBEC7,red maple,Acer,rubrum,NA,ACRU                ,189796,56:09.0,17:15.7,S-Q21-ACRU-031,3247,35.994609,-78.902679,"300 Blackwell St, Durham, NC 27701, USA",,8.4,245,58:13.0,,,2,1,1,2,1,4,35,5,84,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.64021301,69.21164703,84.90294647
75,E3E14980-E5BD-4C6D-9700-1EC8659D7EA7,Chinese elm,Ulmus,parvifolia,NA,ULPA                ,189796,12:30.0,56:19.3,S-Q21-ULPA-046,6567,35.99629,-78.904349,"111 W Chapel Hill St, Durham, NC 27701, USA",,11.7,260,13:47.0,,"Trunk decay, sign against trunk",2,1,1,1,1,4,15,5,81,74.9,363600,24.37419891,21.89970016,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.76065826,68.43151093,85.43041992
76,8A01C8D0-5EB7-414D-B4A6-1EF134399524,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,30:11.0,49:41.3,S-P21-LAUN-043,6931,36.00066,-78.89703,"109 Broadway St, Durham, NC 27701, USA",,1.51,402,31:12.0,,Trunk sprout.,2,2,2,2,5,5,45,4,65,74.9,363600,24.47979927,21.92829895,DD-S1,DOWNTOWN DESIGN-SUPPORT 1,DOW,82.76967621,69.05135345,84.58569336
77,89346148-2984-421A-AAFE-20805FDCF3F5,peach,Prunus,persica,NA,PRPE3               ,179696,26:12.0,20:36.4,S-O21-PRPE-024,6920,36.00536,-78.89547,"117 W Trinity Ave, Durham, NC 27701, USA",,1.45,131,27:18.0,,,2,1,1,1,1,5,35,5,18,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.51052094,67.55539703,84.35085297
80,B16D08EA-C02E-4813-A52A-225424051942,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,34:20.0,,S-P21-LAUN-008,6931,36.000997,-78.898085,"206 Broadway St #104, Durham, NC 27701, USA","DBH measured at 3'6""",1.6,369,35:36.0,,"Fungal conch, pruning scars with exposed wood, lower trunk resprout ",2,1,2,2,5,5,45,5,91,74.9,363600,24.47979927,21.92829895,DD-S1,DOWNTOWN DESIGN-SUPPORT 1,DOW,82.72686768,68.89128876,84.75792694
83,E7FE469D-1C69-4704-A1EF-234260ABB099,willow oak,Quercus,phellos,NA,QUPH                ,189796,35:04.0,27:23.2,S-O18-QUPH-050,3343,36.008012,-78.936679,"2300 Erwin Rd, Durham, NC 27710, USA",,12.31,51,36:39.0,,"Girdling roots, chlorotic leaves, fungus on leaves",2,3,1,3,5,3,45,3,77,100,,24.16559982,21.82219887,UC, , ,83.40712738,69.93366241,85.18254852
84,0DBD4A64-5A57-4DB0-A587-23652F3AB4CF,American hornbeam,Carpinus,caroliniana,NA,CACA18              ,189796,11:42.0,33:00.7,S-R21-CACA-038,3258,35.97817,-78.90311,"317 Moline St, Durham, NC 27707, USA",,0.75,347,12:21.0,,Protection at base.,2,2,2,2,10,5,55,4,40,55.4,150600,24.52069855,21.97839928,RU-5,RES_MEDIUM_DENSITY,RES,81.06263733,67.41101837,83.77597046
85,A9103CA2-3AE7-4F1B-B375-24962D7B2ED6,red maple,Acer,rubrum,NA,ACRU                ,189796,15:33.0,17:32.8,S-Q21-ACRU-059,3247,35.996908,-78.905114,"211 W Chapel Hill St, Durham, NC 27701, USA",,9.8,477,25:47.0,,,2,2,1,2,10,5,35,4,74,74.9,363600,24.37419891,21.89970016,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.7218399,68.61234283,85.52362061
86,8F2BA1CB-2636-48EB-83CF-255036B1EA62,Japanese zelkova,Zelkova,serrata,NA,ZESE80              ,189796,28:12.0,02:51.3,S-Q21-ZESE-062,18056,35.996908,-78.90442,"Chapel Hill St at Main St, Durham, NC 27701, USA",,10.35,270,30:01.0,,,2,1,1,1,10,3,35,5,72,74.9,363600,24.37419891,21.89970016,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.63687897,68.56117249,85.73098755
87,1A8154B9-1491-4173-AD3C-25BC56EFAE71,plum/cherry,Prunus,spp.,NA,PRUNU               ,189796,54:12.0,,S-O21-PRYE-057,6898,36.005477,-78.894771,"106 W Trinity Ave, Durham, NC 27701, USA",Prunus yedoensis,1.4,310,56:16.0,,,2,1,2,1,1,5,35,5,37,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.77573395,67.5925293,84.07291412
89,F2B8F531-C13C-4E26-8B4E-2632BA62D498,Kentucky coffeetree,Gymnocladus,dioicus,NA,GYDI                ,189796,59:11.0,05:05.3,S-Q21-GYDI-043,3986,35.996142,-78.904107,"111 W Chapel Hill St, Durham, NC 27701, USA",,4.6,257,03:12.0,08:29.0,"Bark blonding, epicormic branching",2,1,1,2,1,5,35,5,86,74.9,363600,24.47979927,21.92829895,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.79637909,68.35196686,85.55871582
90,4E09487A-82FC-4882-82BF-2664120F57CF,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,10:35.0,20:09.6,S-U16-LAIN-005,6931,35.954183,-78.956373,"3400 Windsor Way, Durham, NC 27707, USA","Multistemmed: other dbhs 4.4, 4.7, 4.65, 4.9, 5",5,291,14:37.0,,,2,2,1,2,5,5,35,4,42,2.4,654300,24.34879875,21.93159866,RS-10,RES_LOW_DENSITY,RES,80.95626831,67.85607147,82.46481323
92,E794BC2E-36F6-40B3-B86C-26E3BADC6BB1,eastern redbud,Cercis,canadensis,NA,CECA4               ,179696,23:15.0,59:14.2,S-O18-CECA-016,3273,36.008355,-78.937919,"Duke Hospital, Durham, NC 27705, USA","Measured at 3'9""",1.8,11,25:41.0,,,2,2,2,2,1,5,55,4,69,99.5,,24.25160027,21.83729935,RU-M,RES_HIGH_DENSITY,RES,83.23791504,70.17343903,85.27194214
93,57844421-405B-472A-BEEB-27722C34367B,red maple,Acer,rubrum,NA,ACRU                ,189796,05:40.0,17:54.2,S-Q21-ACRU-071,3247,35.996519,-78.903372,"325 W Main St, Durham, NC 27701, USA",,8.5,279,07:06.0,,,2,2,1,2,5,2,25,4,90,74.9,363600,24.47979927,21.92829895,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.62397766,68.22270966,85.60858154
94,3A4DD769-735B-4201-90D7-279C3988BEF3,Callery pear (Bradford pear),Pyrus,calleryana,NA,PYCA80              ,189796,28:16.0,26:17.0,S-O21-PYCA-002,10957,36.003502,-78.896122,"831 Glendale Ave, Durham, NC 27701, USA",We could not measure DBH because on private property.,17.51,307,30:10.0,,We could not measure DBH because on private property; some resprout from pruning scars.,2,1,1,1,5,4,35,5,51,74.9,363600,24.47979927,21.92829895,RU-5,RES_MEDIUM_DENSITY,RES,81.94906616,67.6127243,84.68571472
95,8FC5A15A-E988-4F38-9288-27DDA7A05E2D,willow oak,Quercus,phellos,NA,QUPH                ,189796,59:19.0,27:34.7,S-O18-QUPH-054,3343,36.008032,-78.937015,"2300 Erwin Rd, Durham, NC 27705, USA",,14.8,55,01:10.0,,"Chlorotic leaves, some oozing, a bit of trunk sprout",2,4,1,4,1,4,35,2,82,100,,24.16559982,21.82219887,UC, , ,83.3311615,69.98709106,85.27115631
96,2A87CD9D-12DA-4114-85FE-287C4D50220E,trident maple,Acer,buergerianum,NA,ACBU4               ,203642,38:23.0,,S-O21-ACBU-041,20243,36.005532,-78.895742,"122 W Trinity Ave, Durham, NC 27701, USA",,1.5,73,39:32.0,,,2,1,1,1,1,5,45,5,11,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.49751282,67.53153229,84.36988068
