Tree Name,Date,Park Name,Tree Number,Genus,Species,Species ID Code,Tree tag present,Tree tag information,Tree ID in City Inventory (if applicable),ID Notes,Multi-stemmed,DBH (in),DBH 2 (in),DBH 3 (in),DBH 4 (in),DBH 5 (in),DBH 6 (in),Total DBH,Esimated DBH,Height Measured (DBH),Land Use Type,Site type,Percent Imperv in Root Zone,Trail,Street,Sidewalk,Powerline,Mulch,Mulch Volcano,Tree guard,Stake,Gator bag,Pruned,Prune - Cut to branch collar,Prune - hatrack,Prune - flush cut,Prune - tear bark,Prune - bleeding wound,Gardenscape,Mowing,Grass Description,Other Cues to Care,Roots visible above soil,Fungal Conch,Road/Sidewalk Lift,Road/Sidewalk crack,Broken Branches in crown,Trunk damage,Leaf curling or Wrinkling,Other Notable Damage,Other notes,Discoloration,Defoliation,Dieback,Crown Vigor,Crown Light Exposure,Dead
WE-LASPP-039,7/11/2023,West Point on the Eno,39,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,1.7,1.2,1.3,1.3,1.5,1.1,8.1,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,old,Patchy but green,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3,1,3,4,3,FALSE
WE-LASPP-040,7/11/2023,West Point on the Eno,40,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,1.9,1.9,1.2,1.4,1.3,,7.7,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,2,2,2,1,0,FALSE
WE-ULAM-041,7/11/2023,West Point on the Eno,41,Ulmus,americana,ULAM,FALSE,,,,FALSE,11,,,,,,11,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,torn branches,dbh estimated; large vines wrapping throughout tree,1,2,4,2,1,FALSE
WE-ULAM-042,7/11/2023,West Point on the Eno,42,Ulmus,americana,ULAM,FALSE,,,,FALSE,17.5,,,,,,17.5,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,dbh estimated; large vines wrapping throughout tree,2,2,4,3,1,FALSE
WE-CECA-043,7/11/2023,West Point on the Eno,43,Cercis,canadensis,CECA,FALSE,,,,FALSE,5.5,,,,,,5.5,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,4,2,7,3,1,FALSE
WE-LASPP-044,7/11/2023,West Point on the Eno,44,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,2,1.8,1.7,1.9,1.9,1.5,10.8,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,3,1,3,3,1,FALSE
WE-LASPP-045,7/11/2023,West Point on the Eno,45,Lagerstroemia,spp,LASPP,FALSE,,,,TRUE,1.9,1.8,1.9,1.7,1.6,1.7,10.6,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,recent,Lush,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,4,1,2,4,3,FALSE
WE-ULAM-046,7/11/2023,West Point on the Eno,46,Ulmus,americana,ULAM,FALSE,,,,FALSE,4.7,,,,,,4.7,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,2,2,2,1,FALSE
WE-CECA-047,7/11/2023,West Point on the Eno,47,Cercis,canadensis,CECA,FALSE,,,,FALSE,1.7,,,,,,1.7,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,4,2,9,4,0,FALSE
WE-CECA-048,7/11/2023,West Point on the Eno,48,Cercis,canadensis,CECA,FALSE,,,,FALSE,1.9,,,,,,1.9,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,2,1,6,3,1,FALSE
WE-CECA-049,7/11/2023,West Point on the Eno,49,Cercis,canadensis,CECA,FALSE,,,,FALSE,2.8,,,,,,2.8,,,MP,NAT,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,2,2,3,2,1,FALSE
WE-CECA-050,7/11/2023,West Point on the Eno,50,Cercis,canadensis,CECA,FALSE,,,,FALSE,2.3,,,,,,2.3,,,MP,NAT,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,2,2,3,3,0,FALSE
