,Year,Date,TreeName,Segment,Genus,Species,TotalDBH,LandUse,SiteType,Pruned,HatrackPrune,FlushCutPrune,PercentImperv,Powerline,Mulch,MulchVolcano,TreeGuard,Gardenscape,Mowing,GrassDescription,Grate,GirdlingRoots,RoadSideLift,RoadSideCrack,TrunkDamage,LeafCurling,Discoloration,Defoliation,Dieback,CrownVigor,CrownLight
15,2022,2022-06-26T00:00:00.000Z,16-ACPL-008,16,Acer,platanoides,21,SFR-D,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,0,0,3,1,2,3,2
16,2023,7/21/2023,16-CEOC-009,16,Celtis,occidentalis,24,SFR-A,SP,1,1,0,5,0,0,0,0,None,recent,Patchy but green,0,0,0,FALSE,0,1,1,2,2,2,3
17,2022,2022-06-26T00:00:00.000Z,16-CEOC-009,16,Celtis,occidentalis,24,SFR-D,SP,1,1,0,5,0,0,0,0,None,recent,Patchy but green,0,0,0,FALSE,0,0,2,2,3,2,2
18,2023,7/21/2023,16-GLTR-010,16,Gleditsia,triacanthos,25.1,SFR-A,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,0,1,2,2,6,3,4
19,2022,2022-06-29T00:00:00.000Z,16-GLTR-010,16,Gleditsia,triacanthos,24.9,MFR,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,0,0,1,1.5,3,2,3.5
20,2023,7/21/2023,16-GLTR-011,16,Gleditsia,triacanthos,22.5,SFR-A,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,0,1,1,2,4,2,4
21,2022,2022-06-26T00:00:00.000Z,16-GLTR-011,16,Gleditsia,triacanthos,22.2,MFR,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,0,0,1,1,7,3,4
22,2023,7/21/2023,16-GLTR-012,16,Gleditsia,triacanthos,25.3,SFR-A,SP,1,0,0,5,0,0,0,0,None,old,Lush,0,0,1,TRUE,0,0,2,1,5,3,3
23,2022,2022-06-26T00:00:00.000Z,16-GLTR-012,16,Gleditsia,triacanthos,25,MFR,SP,1,0,0,5,0,0,0,0,None,old,Lush,0,0,1,TRUE,0,0,1,1,4,2,3
24,2023,7/21/2023,16-GLTR-013,16,Gleditsia,triacanthos,24.2,SFR-A,SP,1,1,0,4,0,0,0,0,None,old,Lush,0,0,0,FALSE,0,0,NA,NA,21,5,4
25,2022,2022-06-26T00:00:00.000Z,16-GLTR-013,16,Gleditsia,triacanthos,23.8,SFR-D,SP,1,1,0,4,0,0,0,0,None,old,Lush,0,0,0,FALSE,0,0,1,1,20,4,3
26,2022,2022-06-26T00:00:00.000Z,16-ACRU-014,16,Acer,rubrum,8.8,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,TRUE,0,0,3,1,3,3,4
27,2023,7/21/2023,16-GLTR-015,16,Gleditsia,triacanthos,26.2,SFR-A,SP,1,0,0,4,0,1,0,0,Minimal,recent,Lush,0,0,1,FALSE,0,1,1,2,2,1,4
28,2022,2022-06-26T00:00:00.000Z,16-GLTR-015,16,Gleditsia,triacanthos,25.8,MFR,SP,1,0,0,4,0,0,0,0,Minimal,recent,Lush,0,0,1,FALSE,0,0,1,2,3,2,4
29,2023,7/21/2023,16-ACPL-016,16,Acer,platanoides,17.9,SFR-A,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,TRUE,1,0,4,1,3,4,3
30,2022,2022-06-26T00:00:00.000Z,16-ACPL-016,16,Acer,platanoides,17.8,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,TRUE,1,0,1,1,2,1,2
31,2023,7/21/2023,16-ACPL-017,16,Acer,platanoides,20.2,MFR,SP,1,0,0,4,0,1,0,0,Minimal,recent,Lush,0,0,1,FALSE,0,1,2,1,3,3,2
32,2022,2022-06-29T00:00:00.000Z,16-ACPL-017,16,Acer,platanoides,20.3,SFR-D,SP,1,0,0,4,0,1,0,0,Minimal,recent,Lush,0,0,1,FALSE,0,0,1,1,2.5,1.5,2
33,2023,7/21/2023,16-ACPL-018,16,Acer,platanoides,19.3,SFR-D,SP,1,0,0,4,0,1,0,0,None,recent,Lush,0,0,1,FALSE,0,0,1,1,2,1,3
34,2022,2022-06-26T00:00:00.000Z,16-ACPL-018,16,Acer,platanoides,19,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,1,1,FALSE,0,0,1,1,2,1,2
35,2023,7/21/2023,16-ACPL-019,16,Acer,platanoides,18.6,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,0,1,FALSE,1,0,3,1,4,3,5
36,2022,2022-06-26T00:00:00.000Z,16-ACPL-019,16,Acer,platanoides,18.4,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,1,1,FALSE,1,0,1,1,3,1,3
37,2023,7/21/2023,16-GLTR-020,16,Gleditsia,triacanthos,28.7,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,TRUE,0,1,1,2,3,2,4
38,2022,2022-06-26T00:00:00.000Z,16-GLTR-020,16,Gleditsia,triacanthos,28.4,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,TRUE,0,0,2,1,4,2,3
39,2023,7/21/2023,16-GLTR-021,16,Gleditsia,triacanthos,28.3,SFR-D,SP,1,0,0,4,0,1,0,0,None,old,Lush,0,0,1,TRUE,0,1,1,2,2,1,4
40,2022,2022-06-26T00:00:00.000Z,16-GLTR-021,16,Gleditsia,triacanthos,28,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,TRUE,0,0,1,1,5,2,3
41,2022,2022-06-26T00:00:00.000Z,16-ACRU-022,16,Acer,rubrum,10.9,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,0,FALSE,1,0,3,1,5,4,3
42,2023,7/21/2023,16-GLTR-023,16,Gleditsia,triacanthos,25.2,SFR-D,SP,1,0,0,5,0,0,0,0,None,old,Patchy but green,0,0,1,FALSE,1,0,1,2,3,1,3
43,2022,2022-06-27T00:00:00.000Z,16-GLTR-023,16,Gleditsia,triacanthos,24.9,SFR-D,SP,1,0,0,5,0,0,0,0,None,old,Patchy but green,0,0,1,FALSE,1,0,1,2,4,2,3
44,2023,7/21/2023,16-GLTR-024,16,Gleditsia,triacanthos,27.3,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,FALSE,0,1,1,2,3,1,3
45,2022,2022-06-27T00:00:00.000Z,16-GLTR-024,16,Gleditsia,triacanthos,27,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,FALSE,0,0,1,2,6,3,3
46,2023,7/21/2023,16-GLTR-025,16,Gleditsia,triacanthos,27.3,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,FALSE,0,1,2,2,3,2,4
47,2022,2022-06-27T00:00:00.000Z,16-GLTR-025,16,Gleditsia,triacanthos,27,MFR,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,FALSE,0,0,1,2,3,2,4
48,2023,7/21/2023,16-GLTR-026,16,Gleditsia,triacanthos,23.6,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,0,1,FALSE,0,1,1,2,2,1,4
49,2022,2022-06-27T00:00:00.000Z,16-GLTR-026,16,Gleditsia,triacanthos,23.1,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,0,1,FALSE,0,0,2,2,5,3,4
50,2023,7/21/2023,16-GLTR-027,16,Gleditsia,triacanthos,26.7,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,0,1,1,2,3,2,3
51,2022,2022-06-27T00:00:00.000Z,16-GLTR-027,16,Gleditsia,triacanthos,26.3,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,0,0,1,2,3,2,4
52,2023,7/21/2023,16-GLTR-028,16,Gleditsia,triacanthos,26.3,SFR-D,SP,1,1,0,4,0,0,0,0,None,recent,Lush,0,0,1,TRUE,0,1,1,1,2,1,2
53,2022,2022-06-27T00:00:00.000Z,16-GLTR-028,16,Gleditsia,triacanthos,25.9,MFR,SP,1,1,0,4,0,0,0,0,None,recent,Lush,0,0,1,TRUE,0,0,1,2,4,2,3
54,2023,7/21/2023,16-GLTR-029,16,Gleditsia,triacanthos,22.8,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,0,1,FALSE,0,1,1,2,4,2,3
55,2022,2022-06-27T00:00:00.000Z,16-GLTR-029,16,Gleditsia,triacanthos,22.3,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,0,1,FALSE,0,0,1,1,6,2,3
56,2023,7/21/2023,16-GLTR-030,16,Gleditsia,triacanthos,26.3,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,FALSE,0,1,2,2,4,2,3
57,2022,2022-06-27T00:00:00.000Z,16-GLTR-030,16,Gleditsia,triacanthos,26,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,FALSE,0,0,1,1,6,2,2
58,2023,7/21/2023,16-GLTR-031,16,Gleditsia,triacanthos,28.8,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,0,1,TRUE,0,1,1,2,2,2,4
59,2022,2022-06-27T00:00:00.000Z,16-GLTR-031,16,Gleditsia,triacanthos,28.3,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,0,1,TRUE,0,0,1,1,3,1,3
60,2023,7/21/2023,16-ACPL-032,16,Acer,platanoides,15.9,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,1,1,2,2,8.5,4,3.5
61,2022,2022-06-27T00:00:00.000Z,16-ACPL-032,16,Acer,platanoides,15.7,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,1,0,1,1,4,2,3
62,2023,7/21/2023,16-ACPL-033,16,Acer,platanoides,15.4,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,FALSE,1,0,NA,NA,21,5,3
63,2022,2022-06-27T00:00:00.000Z,16-ACPL-033,16,Acer,platanoides,15.2,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Lush,0,0,1,FALSE,1,0,3,1,16,4,4
64,2022,2022-06-27T00:00:00.000Z,16-FRPE-034,16,Fraxinus,pennsylvanica,29.3,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,0,0,FALSE,0,0,1,1,2,1,3
65,2022,2022-06-27T00:00:00.000Z,16-ACRU-035,16,Acer,rubrum,13.1,SFR-D,SP,1,0,0,4,0,0,0,0,Extensive,N/A,Lush,0,0,1,TRUE,1,0,5,1,7,4,3
66,2022,2022-06-27T00:00:00.000Z,16-ACRU-036,16,Acer,rubrum,13.3,SFR-D,SP,1,0,0,4,0,1,0,0,None,recent,Lush,0,1,0,FALSE,1,0,2,1,12,4,3
67,2022,2022-06-27T00:00:00.000Z,16-ACRU-037,16,Acer,rubrum,16.7,SFR-D,SP,1,0,0,5,0,0,0,0,None,recent,Lush,0,1,0,FALSE,1,0,3,1,2,3,4
68,2022,2022-06-28T00:00:00.000Z,16-PRSE-038,16,Prunus,serrulata,5.1,MFR,SP,1,0,0,3,0,0,0,0,None,recent,Lush,0,0,0,FALSE,1,0,1,1,4,2,4
69,2022,2022-06-28T00:00:00.000Z,16-ACRU-039,16,Acer,rubrum,17.4,MFR,SP,1,0,0,5,0,1,0,1,Moderate,recent,Lush,0,0,0,FALSE,1,0,2,1,1,2,5
70,2023,7/21/2023,16-GLTR-040,16,Gleditsia,triacanthos,25.3,SFR-D,SP,1,0,0,5,1,0,0,0,None,recent,Patchy but green,0,0,0,FALSE,1,1,1,2,2,2,3
71,2022,2022-06-28T00:00:00.000Z,16-GLTR-040,16,Gleditsia,triacanthos,24.9,MFR,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,0,FALSE,1,0,2,1,3,2,3
72,2023,7/21/2023,16-GLTR-041,16,Gleditsia,triacanthos,25.5,SFR-D,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,0,0,1,1,4,1.5,2
73,2022,2022-06-28T00:00:00.000Z,16-GLTR-041,16,Gleditsia,triacanthos,25,MFR,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,0,0,1,1,5,2,2
74,2023,7/21/2023,16-GLTR-042,16,Gleditsia,triacanthos,22.2,SFR-D,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,0,FALSE,0,0,1,1,9,3,3
75,2022,2022-06-28T00:00:00.000Z,16-GLTR-042,16,Gleditsia,triacanthos,21.9,MFR,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,0,FALSE,0,0,1,1,5,2,3
76,2022,2022-06-28T00:00:00.000Z,16-ACRU-043,16,Acer,rubrum,15.8,MFR,SP,1,0,0,5,0,0,0,0,None,recent,Lush,0,0,1,FALSE,0,0,2,1,2,2,4
77,2022,2022-06-28T00:00:00.000Z,16-ACRU-044,16,Acer,rubrum,19.3,MFR,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,1,1,TRUE,1,0,2,1,1,1,4
78,2023,7/21/2023,16-GLTR-045,16,Gleditsia,triacanthos,31.3,SFR-D,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,1,TRUE,1,1,1,2,2,2,3
79,2022,2022-06-28T00:00:00.000Z,16-GLTR-045,16,Gleditsia,triacanthos,31,MFR,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,1,TRUE,1,0,1,2,4,2,3
80,2023,7/21/2023,16-GLTR-046,16,Gleditsia,triacanthos,24.3,SFR-D,SP,1,0,1,5,0,0,0,0,None,recent,Patchy but green,0,0,1,TRUE,1,1,1,2,3,2,3
81,2022,2022-06-28T00:00:00.000Z,16-GLTR-046,16,Gleditsia,triacanthos,23.9,MFR,SP,1,0,1,5,0,0,0,0,None,recent,Patchy but green,0,0,1,TRUE,1,0,2,2,5,2,3
82,2023,7/21/2023,16-ACPL-047,16,Acer,platanoides,19.1,SFR-D,SP,1,0,0,5,0,0,0,0,None,old,Patchy but green,0,1,1,TRUE,0,1,3,1,9,4,3
83,2022,2022-07-05T00:00:00.000Z,16-ACPL-047,16,Acer,platanoides,19.1,MFR,SP,1,0,0,5,0,0,0,0,None,old,Patchy but green,0,1,1,TRUE,0,0,2,1,3,2,3
84,2023,7/21/2023,16-ACPL-048,16,Acer,platanoides,13.8,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Patchy but green,0,1,0,TRUE,0,1,4,1,15,4,3
85,2022,2022-07-05T00:00:00.000Z,16-ACPL-048,16,Acer,platanoides,13.9,MFR,SP,1,0,0,4,0,0,0,0,None,old,Patchy but green,0,1,0,TRUE,0,0,2,1,15,4,3
86,2023,7/21/2023,16-ACPL-049,16,Acer,platanoides,14.7,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,1,1,2,1,11,4,3
87,2022,2022-07-05T00:00:00.000Z,16-ACPL-049,16,Acer,platanoides,14.8,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,1,0,2,1,12,2,4
88,2023,7/21/2023,16-ACPL-050,16,Acer,platanoides,6,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,1,0,TRUE,1,1,2,1,6,3,3
89,2022,2022-07-05T00:00:00.000Z,16-ACPL-050,16,Acer,platanoides,15.9,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,1,0,TRUE,1,0,2,1,4,3,4
90,2023,7/21/2023,16-GLTR-051,16,Gleditsia,triacanthos,28.9,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,0,1,1,1,3,2,2
91,2022,2022-07-05T00:00:00.000Z,16-GLTR-051,16,Gleditsia,triacanthos,28,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,1,1,FALSE,0,0,2,1,3,2,3
92,2023,7/21/2023,16-GLTR-052,16,Gleditsia,triacanthos,23.5,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,TRUE,0,1,1,2,2,2,2
93,2022,2022-07-05T00:00:00.000Z,16-GLTR-052,16,Gleditsia,triacanthos,23.1,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,TRUE,0,0,1,2,3,2,2
94,2023,7/21/2023,16-ACPL-053,16,Acer,platanoides,13.5,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Dry/brown,0,0,1,FALSE,0,0,1,1,2,1,2
95,2022,2022-07-05T00:00:00.000Z,16-ACPL-053,16,Acer,platanoides,13.2,MFR,SP,1,0,0,4,0,1,1,0,None,recent,Dry/brown,0,0,1,FALSE,0,0,1,1,2,1,1
96,2023,7/21/2023,16-ACPL-054,16,Acer,platanoides,13,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Patchy but green,0,0,0,TRUE,0,0,1,1,1,1,2
97,2022,2022-07-05T00:00:00.000Z,16-ACPL-054,16,Acer,platanoides,12.6,MFR,SP,1,0,0,4,0,0,0,0,None,old,Patchy but green,0,0,0,TRUE,0,0,1,1,2,2,1
98,2022,2022-07-05T00:00:00.000Z,16-FRPE-055,16,Fraxinus,pennsylvanica,27.6,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,0,0,2,1,5,3,3
99,2023,7/21/2023,16-ACPL-056,16,Acer,platanoides,18.2,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,1,0,1,1,2,1,2
100,2022,2022-07-05T00:00:00.000Z,16-ACPL-056,16,Acer,platanoides,17.8,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,1,0,1,1,2,1,2
101,2022,2022-07-05T00:00:00.000Z,16-ACRU-057,16,Acer,rubrum,19,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,1,1,TRUE,1,0,3,1,2,3,3
102,2023,7/21/2023,16-ACPL-058,16,Acer,platanoides,13.7,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,0,FALSE,0,0,2,1,7,3,3
103,2022,2022-07-05T00:00:00.000Z,16-ACPL-058,16,Acer,platanoides,13.7,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,1,0,FALSE,0,0,1,1,6,2,3
104,2022,2022-07-05T00:00:00.000Z,16-BENI-059,16,Betula,nigra,16.9,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,0,0,2,1,3,2,3
105,2022,2022-07-05T00:00:00.000Z,16-FRPE-060,16,Fraxinus,pennsylvanica,25.1,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,1,0,TRUE,0,0,2,1,3,3,3
106,2023,7/21/2023,16-ACPL-061,16,Acer,platanoides,23.3,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,0,0,2,1,2,1,3
107,2022,2022-07-05T00:00:00.000Z,16-ACPL-061,16,Acer,platanoides,23.5,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,1,0,TRUE,0,0,1,1,2,2,3
108,2022,2022-07-05T00:00:00.000Z,16-FRPE-062,16,Fraxinus,pennsylvanica,20.8,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,0,0,1,1,3,2,2
109,2023,7/21/2023,16-ACPL-063,16,Acer,platanoides,20.1,SFR-D,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,0,1,TRUE,1,0,1,1,3,1,3
110,2022,2022-07-05T00:00:00.000Z,16-ACPL-063,16,Acer,platanoides,19.9,MFR,SP,1,0,0,5,0,0,0,0,None,recent,Patchy but green,0,1,1,TRUE,1,0,1,1,2,1,3
112,2022,2022-07-05T00:00:00.000Z,16-TICO-064,16,Tilia,cordata,24.3,MFR,SP,0,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,FALSE,0,0,1,1,2,1,5
113,2022,2022-07-05T00:00:00.000Z,16-ACRU-065,16,Acer,rubrum,15,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,1,1,TRUE,0,0,3,1,1,3,4
114,2023,7/21/2023,16-ACPL-066,16,Acer,platanoides,15.2,SFR-D,SP,1,0,0,4,0,0,0,0,None,old,Patchy but green,0,0,1,TRUE,0,1,1,1,7,3,3
115,2022,2022-07-05T00:00:00.000Z,16-ACPL-066,16,Acer,platanoides,15,MFR,SP,1,0,0,4,0,0,0,0,None,old,Patchy but green,0,1,1,TRUE,0,0,2,1,6,3,3
116,2023,7/21/2023,16-ACXFR-067,16,Acer,x freemanii,13,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,0,1,FALSE,1,0,1,1,1,1,4
117,2022,2022-07-05T00:00:00.000Z,16-ACRU-068,16,Acer,rubrum,14.3,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,1,0,4,1,2,4,3
118,2022,2022-07-05T00:00:00.000Z,16-ACRU-069,16,Acer,rubrum,13,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,0,0,TRUE,0,0,3,1,1,3,4
119,2023,7/21/2023,16-ACPL-070,16,Acer,platanoides,14.9,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,0,0,TRUE,0,1,3,2,8,4,5
120,2022,2022-07-05T00:00:00.000Z,16-ACPL-070,16,Acer,platanoides,15,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Lush,0,0,0,TRUE,0,0,2,2,7,3,5
121,2023,7/21/2023,16-ACPL-071,16,Acer,platanoides,17.4,SFR-D,SP,1,0,0,5,0,0,0,0,None,old,Patchy but green,0,0,1,FALSE,1,1,5,1,5,4,3
122,2022,2022-07-05T00:00:00.000Z,16-ACPL-071,16,Acer,platanoides,17.5,MFR,SP,1,0,0,5,0,0,0,0,None,old,Patchy but green,0,0,1,FALSE,1,0,1,1,4,2.5,3.5
123,2023,7/21/2023,16-ACPL-072,16,Acer,platanoides,20,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,1,1,2,1,7,3,4
124,2022,2022-07-05T00:00:00.000Z,16-ACPL-072,16,Acer,platanoides,20.1,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,1,0,TRUE,1,0,1,1,5,3,4
125,2023,7/21/2023,16-ACPL-073,16,Acer,platanoides,17.5,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,1,0,1,1,1,1,3
126,2022,2022-07-05T00:00:00.000Z,16-ACPL-073,16,Acer,platanoides,17.6,MFR,SP,1,0,0,4,0,1,0,0,None,recent,Patchy but green,0,0,0,TRUE,1,0,1,1,1,1,3
127,2023,7/21/2023,16-GLTR-074,16,Gleditsia,triacanthos,30.4,SFR-D,SP,1,1,0,4,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,1,1,1,2,5,2,3.5
128,2022,2022-07-05T00:00:00.000Z,16-GLTR-074,16,Gleditsia,triacanthos,30.1,MFR,SP,1,1,0,4,0,0,0,0,None,recent,Patchy but green,0,0,0,TRUE,1,0,1,2,3,2,3
129,2022,2022-07-05T00:00:00.000Z,16-FRUN-075,16,Fraxinus,unknown,35.4,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,1,TRUE,1,0,1,1,3,2,3
130,2022,2022-07-05T00:00:00.000Z,16-ACRU-076,16,Acer,rubrum,14.9,MFR,SP,1,0,0,4,0,0,0,0,None,old,Patchy but green,0,0,0,TRUE,1,0,1,1,1,1,1
131,2023,7/21/2023,16-ACPL-077,16,Acer,platanoides,12.9,SFR-D,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,0,0,FALSE,0,0,2,1,11,4,2
132,2022,2022-07-05T00:00:00.000Z,16-ACPL-077,16,Acer,platanoides,12.9,MFR,SP,1,0,0,4,0,0,0,0,None,recent,Patchy but green,0,1,0,FALSE,0,0,1,1,5,4,2
