Response,Predictor,Predictor Level,Estimate,SE,CI_025,CI_975,sig95
,,Ulmus americana,0.059,0.208,-0.339,0.472,
,,Acer other,-0.449,0.18,-0.808,-0.101,*
,,Prunus,0.0672,0.15,-0.218,0.362,
,,Quercus other,-0.325,0.157,-0.648,-0.026,*
,,Other large,0.00062,0.114,-0.22,0.226,
,,Other medium,-0.163,0.17,-0.498,0.169,
,,Other small,-0.123,0.13,-0.371,0.134,
,Urban Tolerance x Site Type,Median,1.63,0.843,-0.04,3.27,
,,Other Maintained,0.759,0.836,-0.85,2.35,
,,Sidewalk Cutout,-0.453,0.549,-1.54,0.62,
,,Yard,-0.286,0.57,-1.45,0.795,
Discoloration,intercept,,0.674,0.564,-0.43,1.77,
,Segment,K18,0.484,0.498,-0.477,1.46,
,,M19,0.297,0.542,-0.758,1.39,
,,M22,0.482,0.562,-0.594,1.61,
,,O18,-0.335,0.66,-1.61,0.957,
,,O19,0.421,0.502,-0.551,1.43,
,,O21,0.355,0.496,-0.614,1.33,
,,Other,-0.0547,0.484,-0.983,0.903,
,,P21,0.754,0.532,-0.29,1.81,
,,Q21,0.768,0.579,-0.363,1.94,
,,R21,0.184,0.513,-0.806,1.19,
,,R24,-0.307,0.577,-1.43,0.832,
,,U17,0.809,0.461,-0.0843,1.72,
,,V19,1,0.58,-0.103,2.15,
,,X16,-0.117,0.501,-1.11,0.879,
,Year,Year2023,0.508,0.114,0.282,0.734,*
,Basal Area,,0.077,0.0816,-0.0854,0.235,
,Species Group,Acer rubrum,-0.113,0.56,-1.21,0.987,
,,Cercis canadensis,0.781,1.11,-1.43,2.89,
,,Quercus phellos,-0.265,0.499,-1.26,0.688,
,,Ulmus americana,-0.277,1.12,-2.55,1.87,
,,Acer other,0.0355,0.675,-1.3,1.39,
,,Prunus,-1.34,0.915,-3.15,0.425,
,,Quercus other,-1.32,0.553,-2.42,-0.233,*
,,Other large,0.14,0.47,-0.783,1.06,
,,Other medium,0.646,0.583,-0.492,1.8,
,,Other small,-0.474,0.549,-1.55,0.612,
,Mulch,Correct,0.0407,0.132,-0.211,0.299,
,,Volcano,-0.0779,0.259,-0.594,0.427,
,Landscaping,Minimal,-0.254,0.218,-0.69,0.17,
,,Moderate,-0.452,0.297,-1.04,0.127,
,,Extensive,-0.0487,0.301,-0.642,0.53,
,Urban tolerance,,0.0762,0.316,-0.546,0.688,
,Site Type,Median,0.818,0.377,0.091,1.56,*
,,Other Maintained,0.307,0.299,-0.286,0.901,
,,Sidewalk Cutout,0.373,0.249,-0.115,0.852,
,,Yard,0.281,0.282,-0.278,0.832,
,Land Use,Commercial and Mixed,-0.251,0.297,-0.844,0.334,
,,Institutional,-0.252,0.243,-0.725,0.217,
,,Natural area or Vacant,-0.269,0.307,-0.867,0.337,
,,Other,-0.232,0.435,-1.11,0.601,
,Basal area x Species Group,Acer rubrum,-0.198,0.123,-0.435,0.0463,
,,Cercis canadensis,-0.265,0.163,-0.596,0.0466,
,,Quercus phellos,-0.524,0.167,-0.847,-0.198,*
,,Ulmus americana,-0.328,0.183,-0.699,0.0149,
,,Acer other,-0.0756,0.119,-0.309,0.162,
,,Prunus,-0.315,0.137,-0.586,-0.0429,*
,,Quercus other,-0.397,0.117,-0.637,-0.168,*
,,Other large,-0.161,0.0954,-0.346,0.0258,
,,Other medium,-0.0715,0.13,-0.329,0.18,
,,Other small,-0.307,0.1,-0.507,-0.11,*
,Urban Tolerance x Site Type,Median,-0.356,0.548,-1.43,0.741,
,,Other Maintained,-0.289,0.573,-1.4,0.817,
,,Sidewalk Cutout,-0.289,0.365,-1.03,0.424,
,,Yard,-0.409,0.392,-1.17,0.368,
Dieback,intercept,,1.51,0.98,-0.38,3.44,
,Segment,K18,-1.46,0.881,-3.21,0.316,
,,M19,-1.05,0.933,-2.86,0.736,
,,M22,-0.82,1.01,-2.84,1.13,
,,O18,-3.03,1.29,-5.68,-0.606,*
,,O19,-0.718,0.939,-2.61,1.05,
,,O21,-1.56,0.924,-3.44,0.223,
,,Other,-0.893,0.87,-2.63,0.78,
,,P21,-0.167,0.986,-2.12,1.75,
,,Q21,0.257,1.09,-1.9,2.37,
,,R21,-2,0.938,-3.89,-0.199,*
,,R24,-1.85,1.06,-3.98,0.191,
,,U17,-0.0766,0.825,-1.72,1.59,
,,V19,0.511,0.978,-1.41,2.38,
,,X16,-1.38,0.877,-3.18,0.269,
,Year,Year2023,0.204,0.137,-0.0625,0.47,
,Basal Area,,0.0607,0.151,-0.233,0.357,
,Species Group,Acer rubrum,1.29,1.01,-0.631,3.34,
,,Cercis canadensis,1.94,1.95,-1.85,5.77,
,,Quercus phellos,2.12,0.883,0.462,3.92,*
,,Ulmus americana,-3.14,1.9,-6.74,0.57,
,,Acer other,0.545,1.24,-1.88,2.98,
,,Prunus,2.73,1.63,-0.363,6.02,
,,Quercus other,1.51,0.851,-0.113,3.26,
,,Other large,1.07,0.789,-0.48,2.63,
,,Other medium,0.103,0.998,-1.85,2.04,
,,Other small,0.261,0.947,-1.58,2.11,
,Mulch,Correct,-0.122,0.202,-0.506,0.279,
,,Volcano,0.625,0.506,-0.332,1.66,
,Landscaping,Minimal,-0.172,0.3,-0.771,0.423,
,,Moderate,0.354,0.505,-0.628,1.35,
,,Extensive,-0.818,0.49,-1.78,0.157,
,Urban tolerance,,-0.07,0.615,-1.26,1.12,
,Site Type,Median,-0.13,0.683,-1.46,1.19,
,,Other Maintained,-0.22,0.6,-1.37,1,
,,Sidewalk Cutout,0.925,0.472,0.0116,1.87,*
,,Yard,0.618,0.499,-0.371,1.58,
,Land Use,Commercial and Mixed,-0.219,0.555,-1.29,0.87,
,,Institutional,-0.254,0.459,-1.15,0.654,
,,Natural area or Vacant,-0.0527,0.602,-1.25,1.12,
,,Other,-1.98,0.808,-3.57,-0.435,*
,Basal area x Species Group,Acer rubrum,-0.0365,0.221,-0.479,0.422,
,,Cercis canadensis,0.0537,0.286,-0.502,0.608,
,,Quercus phellos,0.638,0.33,0.0161,1.31,*
,,Ulmus americana,-0.554,0.308,-1.15,0.0492,
,,Acer other,0.0532,0.226,-0.401,0.491,
,,Prunus,0.434,0.251,-0.0627,0.938,
,,Quercus other,0.353,0.205,-0.0283,0.785,
,,Other large,0.0471,0.169,-0.285,0.38,
,,Other medium,-0.0749,0.219,-0.496,0.345,
,,Other small,-0.17,0.179,-0.518,0.172,
,Urban Tolerance x Site Type,Median,-1.42,1.05,-3.5,0.577,
,,Other Maintained,0.141,1.18,-2.14,2.43,
,,Sidewalk Cutout,-1.2,0.719,-2.58,0.228,
,,Yard,-0.334,0.712,-1.79,1.02,
