"","Estimate","SE","CI_025","CI_975","sig95"
"Defoliation_BasalArea:SppGroupAcerrubrum",-0.4,0.154,-0.697,-0.103,"*"
"Defoliation_BasalArea:SppGroupCerciscanadensis",0.125,0.184,-0.23,0.493,""
"Defoliation_BasalArea:SppGroupOtherlg",0.0988,0.111,-0.115,0.317,""
"Defoliation_BasalArea:SppGroupOthermd",-0.125,0.165,-0.456,0.186,""
"Defoliation_BasalArea:SppGroupOthersm",-0.116,0.132,-0.378,0.139,""
"Defoliation_BasalArea:SppGroupPrunusspp",0.0792,0.157,-0.226,0.388,""
"Defoliation_BasalArea:SppGroupQuercus",-0.29,0.16,-0.619,0.0156,""
"Defoliation_BasalArea:SppGroupQuercusphellos",-0.186,0.222,-0.627,0.242,""
"Defoliation_BasalArea:SppGroupUlmusamericana",0.0909,0.209,-0.306,0.504,""
"Discoloration_intercept",0.797,0.54,-0.275,1.85,""
"Discoloration_SegmentModK18",0.51,0.463,-0.384,1.4,""
"Discoloration_SegmentModM19",0.321,0.518,-0.688,1.34,""
"Discoloration_SegmentModM22",0.479,0.522,-0.552,1.52,""
"Discoloration_SegmentModO18",-0.307,0.621,-1.52,0.914,""
"Discoloration_SegmentModO19",0.435,0.484,-0.484,1.42,""
"Discoloration_SegmentModO21",0.392,0.473,-0.537,1.34,""
"Discoloration_SegmentModOther",-0.0307,0.451,-0.9,0.846,""
"Discoloration_SegmentModP21",0.768,0.496,-0.196,1.74,""
"Discoloration_SegmentModQ21",0.822,0.53,-0.187,1.86,""
"Discoloration_SegmentModR21",0.22,0.478,-0.712,1.16,""
"Discoloration_SegmentModR24",-0.3,0.535,-1.34,0.764,""
"Discoloration_SegmentModU17",0.865,0.434,0.0344,1.72,"*"
"Discoloration_SegmentModV19",1.03,0.525,0.0208,2.07,"*"
"Discoloration_SegmentModX16",-0.0742,0.439,-0.913,0.805,""
"Discoloration_Year2023",0.509,0.114,0.285,0.729,"*"
"Discoloration_BasalArea",0.0883,0.08,-0.0696,0.241,""
"Discoloration_SppGroupAcer",0.0086,0.662,-1.28,1.32,""
"Discoloration_SppGroupAcerrubrum",-0.227,0.527,-1.26,0.827,""
"Discoloration_SppGroupCerciscanadensis",0.742,1.08,-1.37,2.91,""
"Discoloration_SppGroupOtherlg",0.113,0.438,-0.777,0.961,""
"Discoloration_SppGroupOthermd",0.585,0.586,-0.54,1.74,""
"Discoloration_SppGroupOthersm",-0.539,0.55,-1.63,0.527,""
"Discoloration_SppGroupPrunusspp",-1.42,0.892,-3.18,0.296,""
"Discoloration_SppGroupQuercus",-1.35,0.551,-2.43,-0.293,"*"
"Discoloration_SppGroupQuercusphellos",-0.396,0.489,-1.36,0.555,""
"Discoloration_SppGroupUlmusamericana",-0.421,1.11,-2.62,1.77,""
"Discoloration_MulchMulch",0.0373,0.13,-0.218,0.294,""
"Discoloration_MulchVolcano",-0.0694,0.255,-0.572,0.429,""
"Discoloration_Gardenscape2",-0.267,0.213,-0.679,0.154,""
"Discoloration_Gardenscape3",-0.495,0.297,-1.08,0.0911,""
"Discoloration_Gardenscape4",-0.083,0.295,-0.652,0.499,""
"Discoloration_UrbanApp1",-0.205,0.162,-0.526,0.112,""
"Discoloration_SiteTypeM",0.73,0.349,0.0545,1.42,"*"
"Discoloration_SiteTypeOM",0.212,0.27,-0.317,0.746,""
"Discoloration_SiteTypeSP",0.287,0.2,-0.105,0.663,""
"Discoloration_SiteTypeYard",0.164,0.245,-0.317,0.632,""
"Discoloration_LandUseCOMMMx",-0.226,0.293,-0.816,0.339,""
"Discoloration_LandUseINST",-0.249,0.228,-0.687,0.187,""
"Discoloration_LandUseNATV",-0.262,0.292,-0.84,0.32,""
"Discoloration_LandUseOther",-0.231,0.439,-1.08,0.622,""
"Discoloration_BasalArea:SppGroupAcer",-0.0868,0.117,-0.315,0.146,""
"Discoloration_BasalArea:SppGroupAcerrubrum",-0.211,0.119,-0.445,0.0249,""
"Discoloration_BasalArea:SppGroupCerciscanadensis",-0.272,0.161,-0.584,0.0518,""
"Discoloration_BasalArea:SppGroupOtherlg",-0.166,0.0901,-0.342,0.00867,""
"Discoloration_BasalArea:SppGroupOthermd",-0.0936,0.126,-0.335,0.156,""
"Discoloration_BasalArea:SppGroupOthersm",-0.317,0.1,-0.514,-0.12,"*"
"Discoloration_BasalArea:SppGroupPrunusspp",-0.329,0.134,-0.589,-0.0651,"*"
"Discoloration_BasalArea:SppGroupQuercus",-0.4,0.114,-0.628,-0.18,"*"
"Discoloration_BasalArea:SppGroupQuercusphellos",-0.552,0.15,-0.839,-0.258,"*"
"Discoloration_BasalArea:SppGroupUlmusamericana",-0.35,0.181,-0.706,-0.000106,"*"
"Dieback_intercept",1.74,1.01,-0.238,3.7,""
"Dieback_SegmentModK18",-1.18,0.905,-2.97,0.59,""
"Dieback_SegmentModM19",-0.851,1.02,-2.87,1.08,""
"Dieback_SegmentModM22",-0.479,1.04,-2.52,1.61,""
"Dieback_SegmentModO18",-2.48,1.26,-5.02,-0.0727,"*"
"Dieback_SegmentModO19",-0.642,0.941,-2.54,1.21,""
"Dieback_SegmentModO21",-1.38,0.927,-3.17,0.502,""
"Dieback_SegmentModOther",-0.654,0.869,-2.36,1.07,""
"Dieback_SegmentModP21",0.251,0.961,-1.64,2.19,""
"Dieback_SegmentModQ21",0.491,1.03,-1.54,2.54,""
"Dieback_SegmentModR21",-1.69,0.944,-3.56,0.141,""
"Dieback_SegmentModR24",-1.52,1.04,-3.55,0.554,""
"Dieback_SegmentModU17",0.23,0.784,-1.3,1.77,""
"Dieback_SegmentModV19",0.801,1.01,-1.19,2.79,""
"Dieback_SegmentModX16",-0.832,0.832,-2.49,0.808,""
"Dieback_Year2023",0.211,0.138,-0.0615,0.479,""
"Dieback_BasalArea",0.0969,0.141,-0.179,0.373,""
"Dieback_SppGroupAcer",0.687,1.25,-1.89,3.05,""
"Dieback_SppGroupAcerrubrum",0.704,0.947,-1.24,2.56,""
"Dieback_SppGroupCerciscanadensis",1.65,1.93,-2.13,5.54,""
"Dieback_SppGroupOtherlg",0.872,0.749,-0.64,2.36,""
"Dieback_SppGroupOthermd",0.27,1,-1.72,2.28,""
"Dieback_SppGroupOthersm",0.0688,0.946,-1.82,1.87,""
"Dieback_SppGroupPrunusspp",2.78,1.68,-0.546,6.07,""
"Dieback_SppGroupQuercus",1.52,0.853,-0.19,3.18,""
"Dieback_SppGroupQuercusphellos",2.02,0.884,0.283,3.74,"*"
"Dieback_SppGroupUlmusamericana",-3.63,1.91,-7.36,0.0441,""
"Dieback_MulchMulch",-0.116,0.197,-0.507,0.269,""
"Dieback_MulchVolcano",0.506,0.521,-0.513,1.55,""
"Dieback_Gardenscape2",-0.151,0.31,-0.741,0.459,""
"Dieback_Gardenscape3",0.309,0.489,-0.618,1.3,""
"Dieback_Gardenscape4",-0.872,0.494,-1.82,0.109,""
"Dieback_UrbanApp1",-0.718,0.298,-1.3,-0.129,"*"
"Dieback_SiteTypeM",-0.495,0.704,-1.92,0.87,""
"Dieback_SiteTypeOM",-0.255,0.547,-1.35,0.837,""
"Dieback_SiteTypeSP",0.433,0.391,-0.3,1.22,""
"Dieback_SiteTypeYard",0.427,0.46,-0.47,1.38,""
"Dieback_LandUseCOMMMx",-0.16,0.544,-1.23,0.902,""
"Dieback_LandUseINST",-0.401,0.457,-1.32,0.473,""
"Dieback_LandUseNATV",-0.0332,0.577,-1.19,1.1,""
"Dieback_LandUseOther",-1.97,0.852,-3.7,-0.355,"*"
"Dieback_BasalArea:SppGroupAcer",0.0944,0.231,-0.363,0.54,""
"Dieback_BasalArea:SppGroupAcerrubrum",-0.132,0.213,-0.545,0.288,""
"Dieback_BasalArea:SppGroupCerciscanadensis",0.00507,0.289,-0.545,0.587,""
"Dieback_BasalArea:SppGroupOtherlg",0.0439,0.162,-0.271,0.36,""
"Dieback_BasalArea:SppGroupOthermd",-0.0475,0.216,-0.471,0.388,""
"Dieback_BasalArea:SppGroupOthersm",-0.204,0.18,-0.564,0.144,""
"Dieback_BasalArea:SppGroupPrunusspp",0.422,0.252,-0.0727,0.93,""
"Dieback_BasalArea:SppGroupQuercus",0.328,0.191,-0.0415,0.702,""
"Dieback_BasalArea:SppGroupQuercusphellos",0.496,0.281,-0.0516,1.04,""
"Dieback_BasalArea:SppGroupUlmusamericana",-0.614,0.316,-1.24,-0.00614,"*"
