Response,Predictor,Predictor Level,Estimate,SE,CI_025,CI_975,sig95
,,55,0.689,0.293,0.116,1.27,*
,,57,-0.186,0.266,-0.709,0.329,
,Year,2022,0.481,0.136,0.216,0.746,*
,,2023,1.2,0.128,0.952,1.45,*
,Basal Area,,-0.26,0.0775,-0.414,-0.109,*
,Species Group,Acer platanoides,0.694,0.456,-0.182,1.59,
,,Celtis occidentalis,0.46,0.557,-0.643,1.55,
,,Fraxinus,-0.689,0.397,-1.46,0.081,
,,Other large,1.06,0.414,0.243,1.88,*
,,Other medium,-0.0382,0.373,-0.775,0.696,
,,Other small,-0.686,0.696,-2.07,0.664,
,,Tilia,0.423,0.43,-0.41,1.26,
,,Ulmus,-0.578,0.378,-1.32,0.15,
,Powerline,,-0.0952,0.12,-0.336,0.138,
,Mulch,Correct,0.139,0.123,-0.0982,0.378,
,,Volcano,-0.0586,0.248,-0.541,0.428,
,Landscaping,Minor,0.171,0.131,-0.0833,0.43,
,,Moderate,-0.00628,0.178,-0.36,0.34,
,,Extensive,0.131,0.198,-0.265,0.517,
,Pruned following BMPs,,-0.0806,0.099,-0.274,0.113,
,Urban Tolerant,,-0.348,0.27,-0.877,0.18,
,Site type,Other,0.238,0.523,-0.782,1.28,
,,Sidewalk Planting Strip,-0.199,0.166,-0.521,0.126,
,Land Use,Commercial and Mixed,0.477,0.203,0.076,0.879,*
,,Institutional,0.199,0.408,-0.605,0.987,
,,Multi-family Residential,-0.0829,0.107,-0.293,0.126,
,,Managed Park,0.085,0.321,-0.542,0.711,
,,Other,0.155,0.302,-0.436,0.74,
,Basal Area x Species Group,Acer platanoides,0.417,0.144,0.139,0.704,*
,,Celtis occidentalis,0.265,0.155,-0.0395,0.572,
,,Fraxinus,0.107,0.143,-0.171,0.388,
,,Other large,0.424,0.104,0.221,0.631,*
,,Other medium,0.213,0.102,0.0131,0.414,*
,,Other small,0.0985,0.154,-0.202,0.403,
,,Tilia,0.49,0.142,0.215,0.772,*
,,Ulmus,0.203,0.119,-0.0307,0.437,
,Urban Tolerance x Site Type,Other,-1.29,0.904,-3.08,0.447,
,,Sidewalk Planting Strip,0.161,0.254,-0.331,0.661,
Dieback,,intercept,3.15,0.645,1.89,4.42,*
,Segment,128,2.14,0.609,0.942,3.35,*
,,153,0.114,0.442,-0.728,1,
,,157,-0.116,0.398,-0.907,0.67,
,,16,1.18,0.437,0.324,2.05,*
,,244,-0.279,0.42,-1.09,0.541,
,,275,-0.427,0.41,-1.24,0.371,
,,281,1.17,0.539,0.0977,2.25,*
,,292,-0.181,0.435,-1.03,0.673,
,,306,0.474,0.37,-0.248,1.22,
,,49,-0.167,0.37,-0.897,0.565,
,,55,-1.34,0.556,-2.45,-0.271,*
,,57,0.525,0.443,-0.336,1.41,
,Year,2022,0.3,0.155,-0.00542,0.604,
,,2023,0.703,0.148,0.414,0.993,*
,Basal Area,,0.364,0.134,0.0992,0.626,*
,Species Group,Acer platanoides,1.28,0.863,-0.4,3,
,,Celtis occidentalis,-0.867,0.991,-2.77,1.1,
,,Fraxinus,2.02,0.686,0.686,3.38,*
,,Other large,0.0894,0.714,-1.3,1.47,
,,Other medium,0.697,0.609,-0.507,1.89,
,,Other small,-0.84,1.27,-3.35,1.65,
,,Tilia,-2.63,0.798,-4.21,-1.05,*
,,Ulmus,0.857,0.66,-0.42,2.16,
,Powerline,,-0.0714,0.203,-0.474,0.334,
,Mulch,Correct,0.264,0.225,-0.177,0.704,
,,Volcano,0.856,0.405,0.0626,1.65,*
,Landscaping,Minor,-0.37,0.241,-0.836,0.104,
,,Moderate,-0.224,0.314,-0.84,0.395,
,,Extensive,-0.431,0.362,-1.15,0.264,
,Pruned following BMPs,,0.017,0.181,-0.339,0.372,
,Urban Tolerant,,-1.68,0.483,-2.61,-0.723,*
,Site type,Other,0.357,0.895,-1.37,2.12,
,,Sidewalk Planting Strip,-0.828,0.3,-1.42,-0.247,*
,Land Use,Commercial and Mixed,0.838,0.371,0.108,1.57,*
,,Institutional,0.879,0.724,-0.526,2.33,
,,Multi-family Residential,0.0514,0.165,-0.268,0.377,
,,Managed Park,-0.785,0.581,-1.94,0.347,
,,Other,-1.32,0.519,-2.35,-0.31,*
,Basal Area x Species Group,Acer platanoides,0.195,0.286,-0.37,0.763,
,,Celtis occidentalis,-0.651,0.282,-1.21,-0.102,*
,,Fraxinus,0.615,0.267,0.0955,1.14,*
,,Other large,-0.173,0.182,-0.529,0.183,
,,Other medium,-0.186,0.179,-0.539,0.166,
,,Other small,-0.339,0.286,-0.904,0.222,
,,Tilia,-0.509,0.26,-1.02,0.00654,
,,Ulmus,0.329,0.216,-0.0865,0.765,
,Urban Tolerance x Site Type,Other,0.543,1.54,-2.47,3.58,
,,Sidewalk Planting Strip,0.811,0.461,-0.103,1.7,
